,TEAM,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TO,PF,PTS,+/-,HOME,GAMEID,Date
574,Brooklyn Nets,33,74,44.6,13,29,44.8,19,23,82.6,12,31,43,19,7,7,17,22,98,10,0,288,11/26/2017
575,Memphis Grizzlies,32,80,40,8,25,32,16,18,88.9,11,24,35,15,8,3,14,24,88,-10,1,288,11/26/2017
576,Orlando Magic,40,92,43.5,16,41,39,13,16,81.3,10,25,35,22,4,9,14,23,109,-12,0,289,11/27/2017
577,Indiana Pacers,42,79,53.2,15,26,57.7,22,26,84.6,8,35,43,25,7,8,14,18,121,12,1,289,11/27/2017
578,Cleveland Cavaliers,41,86,47.7,15,37,40.5,16,20,80,11,35,46,25,7,3,11,21,113,22,0,290,11/27/2017
579,Philadelphia 76ers,36,96,37.5,3,28,10.7,16,20,80,22,31,53,15,6,2,12,18,91,-22,1,290,11/27/2017
580,Detroit Pistons,44,85,51.8,11,25,44,19,23,82.6,8,32,40,26,8,2,8,19,118,10,0,291,11/27/2017
581,Boston Celtics,40,77,51.9,16,33,48.5,12,21,57.1,5,31,36,27,2,4,17,23,108,-10,1,291,11/27/2017
582,Portland Trail Blazers,37,83,44.6,7,21,33.3,22,26,84.6,5,40,45,18,10,3,9,22,103,12,0,292,11/27/2017
583,New York Knicks,35,88,39.8,5,15,33.3,16,22,72.7,14,37,51,13,3,3,13,20,91,-12,1,292,11/27/2017
584,Brooklyn Nets,40,86,46.5,10,39,25.6,13,17,76.5,6,37,43,24,5,4,13,19,103,-14,0,293,11/27/2017
585,Houston Rockets,42,86,48.8,20,50,40,13,20,65,8,34,42,31,8,4,15,19,117,14,1,293,11/27/2017
586,Dallas Mavericks,41,85,48.2,14,32,43.8,12,17,70.6,4,36,40,25,7,0,11,19,108,-7,0,294,11/27/2017
587,San Antonio Spurs,43,82,52.4,10,24,41.7,19,21,90.5,4,39,43,27,7,5,10,16,115,7,1,294,11/27/2017
588,Sacramento Kings,42,79,53.2,9,17,52.9,17,21,81,11,25,36,27,7,6,13,15,110,4,0,295,11/27/2017
589,Golden State Warriors,40,80,50,16,37,43.2,10,14,71.4,9,27,36,31,9,6,14,15,106,-4,1,295,11/27/2017
590,Los Angeles Lakers,44,91,48.4,11,30,36.7,16,24,66.7,12,31,43,23,10,5,16,29,115,-5,0,296,11/27/2017
591,LA Clippers,41,85,48.2,10,28,35.7,28,30,93.3,10,34,44,19,7,3,17,22,120,5,1,296,11/27/2017
592,Miami Heat,37,84,44,10,31,32.3,13,20,65,8,34,42,24,7,5,15,19,97,-11,0,297,11/28/2017
593,Cleveland Cavaliers,40,81,49.4,11,33,33.3,17,23,73.9,5,40,45,21,12,2,13,17,108,11,1,297,11/28/2017
594,Phoenix Suns,38,87,43.7,11,30,36.7,17,23,73.9,13,44,57,25,4,4,15,12,104,5,0,298,11/28/2017
595,Chicago Bulls,38,94,40.4,16,40,40,7,10,70,9,32,41,27,11,7,9,20,99,-5,1,298,11/28/2017
596,Washington Wizards,36,83,43.4,10,28,35.7,10,17,58.8,9,35,44,23,5,4,7,16,92,3,0,299,11/28/2017
597,Minnesota Timberwolves,35,85,41.2,10,30,33.3,9,14,64.3,13,36,49,27,3,1,10,17,89,-3,1,299,11/28/2017
598,Denver Nuggets,28,78,35.9,7,34,20.6,14,16,87.5,12,30,42,13,6,4,17,13,77,-29,0,300,11/28/2017
599,Utah Jazz,42,87,48.3,14,32,43.8,8,9,88.9,9,34,43,24,7,6,11,20,106,29,1,300,11/28/2017
600,Milwaukee Bucks,42,71,59.2,9,22,40.9,19,31,61.3,1,37,38,27,13,5,12,22,112,25,0,301,11/28/2017
601,Sacramento Kings,31,77,40.3,5,17,29.4,20,29,69,9,31,40,15,5,2,16,21,87,-25,1,301,11/28/2017
602,Phoenix Suns,39,84,46.4,7,22,31.8,22,28,78.6,8,29,37,21,11,4,19,19,107,-24,0,302,11/29/2017
603,Detroit Pistons,51,89,57.3,13,28,46.4,16,21,76.2,5,39,44,31,11,6,19,22,131,24,1,302,11/29/2017
604,Oklahoma City Thunder,38,96,39.6,12,32,37.5,20,30,66.7,21,27,48,17,8,5,13,20,108,-13,0,303,11/29/2017
605,Orlando Magic,45,76,59.2,13,30,43.3,18,26,69.2,2,35,37,28,9,7,13,22,121,13,1,303,11/29/2017
606,Washington Wizards,36,89,40.4,9,22,40.9,32,37,86.5,7,28,35,22,8,4,11,42,113,-5,0,304,11/29/2017
607,Philadelphia 76ers,37,81,45.7,3,18,16.7,41,64,64.1,21,43,64,23,6,8,17,27,118,5,1,304,11/29/2017
608,Miami Heat,32,84,38.1,10,38,26.3,12,20,60,9,22,31,21,13,4,15,20,86,-29,0,305,11/29/2017
609,New York Knicks,44,73,60.3,5,13,38.5,22,26,84.6,8,44,52,26,10,5,20,20,115,29,1,305,11/29/2017
610,Charlotte Hornets,37,79,46.8,9,19,47.4,30,35,85.7,7,29,36,26,6,2,12,17,113,-13,0,306,11/29/2017
611,Toronto Raptors,52,98,53.1,14,32,43.8,8,11,72.7,11,28,39,24,6,2,9,23,126,13,1,306,11/29/2017
612,Indiana Pacers,42,88,47.7,7,28,25,6,6,100,6,30,36,18,9,7,14,17,97,-21,0,307,11/29/2017
613,Houston Rockets,42,86,48.8,18,40,45,16,21,76.2,10,39,49,26,9,0,15,10,118,21,1,307,11/29/2017
614,Minnesota Timberwolves,47,81,58,9,23,39.1,17,19,89.5,10,34,44,30,10,1,17,14,120,18,0,308,11/29/2017
615,New Orleans Pelicans,39,84,46.4,14,35,40,10,11,90.9,8,20,28,27,8,2,16,17,102,-18,1,308,11/29/2017
616,Brooklyn Nets,42,90,46.7,11,29,37.9,14,25,56,14,38,52,25,5,1,14,21,109,5,0,309,11/29/2017
617,Dallas Mavericks,39,84,46.4,9,27,33.3,17,21,81,7,37,44,26,5,3,11,23,104,-5,1,309,11/29/2017
618,Memphis Grizzlies,35,77,45.5,11,22,50,14,16,87.5,11,26,37,21,4,1,17,19,95,-9,0,310,11/29/2017
619,San Antonio Spurs,38,75,50.7,8,20,40,20,24,83.3,5,27,32,22,9,5,8,17,104,9,1,310,11/29/2017
620,Golden State Warriors,47,94,50,12,30,40,21,28,75,12,37,49,30,10,4,22,19,127,4,0,311,11/29/2017
621,Los Angeles Lakers,47,95,49.5,9,24,37.5,20,25,80,7,27,34,30,12,5,17,23,123,-4,1,311,11/29/2017
622,Cleveland Cavaliers,41,79,51.9,18,39,46.2,21,27,77.8,12,28,40,30,9,5,19,20,121,7,0,312,11/30/2017
623,Atlanta Hawks,41,79,51.9,12,31,38.7,20,24,83.3,8,21,29,24,9,4,17,20,114,-7,1,312,11/30/2017
624,Philadelphia 76ers,35,84,41.7,16,32,50,11,18,61.1,15,30,45,24,11,1,19,22,97,-11,0,313,11/30/2017
625,Boston Celtics,40,79,50.6,12,29,41.4,16,20,80,7,33,40,25,7,7,16,20,108,11,1,313,11/30/2017
626,Chicago Bulls,44,82,53.7,9,24,37.5,13,21,61.9,6,34,40,25,4,4,11,27,110,-1,0,314,11/30/2017
627,Denver Nuggets,38,83,45.8,12,31,38.7,23,31,74.2,11,33,44,22,7,4,12,19,111,1,1,314,11/30/2017
628,Milwaukee Bucks,42,87,48.3,6,20,30,13,15,86.7,5,30,35,19,11,5,9,20,103,12,0,315,11/30/2017
629,Portland Trail Blazers,35,83,42.2,6,23,26.1,15,17,88.2,10,40,50,17,5,3,19,14,91,-12,1,315,11/30/2017
630,Utah Jazz,49,85,57.6,17,35,48.6,11,14,78.6,10,23,33,38,13,2,13,20,126,19,0,316,11/30/2017
631,LA Clippers,38,70,54.3,10,29,34.5,21,30,70,10,26,36,23,8,6,19,16,107,-19,1,316,11/30/2017
632,Golden State Warriors,55,88,62.5,12,24,50,11,11,100,7,35,42,46,9,11,19,16,133,21,0,317,12/1/2017
633,Orlando Magic,44,96,45.8,11,28,39.3,13,18,72.2,13,22,35,23,9,4,14,15,112,-21,1,317,12/1/2017
634,Detroit Pistons,35,79,44.3,9,30,30,12,19,63.2,4,28,32,20,7,5,15,21,91,-18,0,318,12/1/2017
635,Washington Wizards,43,89,48.3,7,21,33.3,16,19,84.2,16,33,49,28,12,6,11,20,109,18,1,318,12/1/2017
636,Indiana Pacers,45,102,44.1,8,26,30.8,17,22,77.3,15,31,46,21,7,5,10,17,115,-5,0,319,12/1/2017
637,Toronto Raptors,48,97,49.5,10,32,31.3,14,21,66.7,12,35,47,29,6,8,12,18,120,5,1,319,12/1/2017
638,Charlotte Hornets,38,79,48.1,5,20,25,19,21,90.5,10,30,40,21,9,5,22,24,100,-5,0,320,12/1/2017
639,Miami Heat,39,80,48.7,14,35,40,13,21,61.9,9,30,39,25,8,4,21,24,105,5,1,320,12/1/2017
640,Sacramento Kings,45,85,52.9,6,18,33.3,11,14,78.6,8,35,43,29,5,10,12,15,107,1,0,321,12/1/2017
641,Chicago Bulls,42,90,46.7,13,36,36.1,9,13,69.2,8,30,38,30,8,2,8,16,106,-1,1,321,12/1/2017
642,San Antonio Spurs,31,70,44.3,11,27,40.7,22,32,68.8,7,36,43,20,8,5,13,18,95,16,0,322,12/1/2017
643,Memphis Grizzlies,30,74,40.5,5,15,33.3,14,18,77.8,8,30,38,19,8,6,16,26,79,-16,1,322,12/1/2017
644,Minnesota Timberwolves,39,76,51.3,12,24,50,17,21,81,6,20,26,26,7,5,16,20,107,-4,0,323,12/1/2017
645,Oklahoma City Thunder,41,79,51.9,8,26,30.8,21,22,95.5,13,29,42,28,7,7,18,24,111,4,1,323,12/1/2017
646,New Orleans Pelicans,42,87,48.3,15,30,50,9,15,60,6,36,42,28,4,7,10,20,108,-6,0,324,12/1/2017
647,Utah Jazz,42,85,49.4,12,30,40,18,25,72,8,38,46,25,7,3,7,15,114,6,1,324,12/1/2017
648,Phoenix Suns,48,101,47.5,7,24,29.2,8,11,72.7,16,31,47,24,8,1,10,19,111,-5,0,325,12/2/2017
649,Boston Celtics,42,80,52.5,14,31,45.2,18,23,78.3,4,27,31,32,8,6,9,16,116,5,1,325,12/2/2017
650,LA Clippers,30,86,34.9,6,22,27.3,16,23,69.6,11,27,38,16,8,6,10,20,82,-26,0,326,12/2/2017
651,Dallas Mavericks,36,79,45.6,16,35,45.7,20,26,76.9,15,39,54,24,4,7,15,20,108,26,1,326,12/2/2017
652,Atlanta Hawks,47,99,47.5,10,27,37,10,14,71.4,13,34,47,18,12,5,8,19,114,12,0,327,12/2/2017
653,Brooklyn Nets,34,82,41.5,17,42,40.5,17,21,81,12,34,46,26,1,8,19,18,102,-12,1,327,12/2/2017
654,Memphis Grizzlies,43,84,51.2,13,23,56.5,12,14,85.7,6,30,36,31,6,4,12,19,111,-5,0,328,12/2/2017
655,Cleveland Cavaliers,42,75,56,11,24,45.8,21,23,91.3,1,30,31,24,8,7,10,14,116,5,1,328,12/2/2017
656,Detroit Pistons,34,78,43.6,9,31,29,26,32,81.3,7,29,36,20,8,2,16,27,103,-5,0,329,12/2/2017
657,Philadelphia 76ers,35,86,40.7,10,28,35.7,28,32,87.5,17,30,47,27,7,4,17,24,108,5,1,329,12/2/2017
658,Sacramento Kings,37,77,48.1,11,24,45.8,19,21,90.5,6,27,33,20,7,1,15,28,104,-5,0,330,12/2/2017
659,Milwaukee Bucks,34,69,49.3,6,19,31.6,35,42,83.3,9,27,36,20,9,6,15,18,109,5,1,330,12/2/2017
660,Los Angeles Lakers,38,86,44.2,9,30,30,15,21,71.4,17,35,52,21,5,2,21,24,100,-15,0,331,12/2/2017
661,Denver Nuggets,40,87,46,12,31,38.7,23,28,82.1,9,30,39,26,8,6,12,19,115,15,1,331,12/2/2017
662,New Orleans Pelicans,45,86,52.3,15,31,48.4,18,25,72,4,44,48,22,2,3,10,16,123,7,0,332,12/2/2017
663,Portland Trail Blazers,47,105,44.8,11,35,31.4,11,11,100,9,35,44,20,6,3,4,17,116,-7,1,332,12/2/2017
664,Orlando Magic,37,82,45.1,6,28,21.4,25,29,86.2,8,34,42,19,8,3,10,11,105,5,0,333,12/3/2017
665,New York Knicks,43,93,46.2,5,15,33.3,9,10,90,10,35,45,18,4,4,14,24,100,-5,1,333,12/3/2017
666,Golden State Warriors,47,84,56,11,30,36.7,18,24,75,7,34,41,32,4,4,9,14,123,28,0,334,12/3/2017
667,Miami Heat,33,81,40.7,14,37,37.8,15,17,88.2,5,23,28,17,5,4,11,15,95,-28,1,334,12/3/2017
668,LA Clippers,37,73,50.7,15,34,44.1,17,22,77.3,8,29,37,21,3,7,16,26,106,-6,0,335,12/3/2017
669,Minnesota Timberwolves,38,88,43.2,8,26,30.8,28,31,90.3,14,28,42,22,9,1,7,16,112,6,1,335,12/3/2017
670,San Antonio Spurs,31,76,40.8,8,28,28.6,17,23,73.9,8,31,39,14,11,9,17,24,87,-3,0,336,12/3/2017
671,Oklahoma City Thunder,37,87,42.5,6,22,27.3,10,21,47.6,15,32,47,21,8,2,20,19,90,3,1,336,12/3/2017
672,Houston Rockets,45,90,50,14,37,37.8,14,17,82.4,7,36,43,17,10,4,15,23,118,23,0,337,12/3/2017
673,Los Angeles Lakers,32,84,38.1,9,28,32.1,22,30,73.3,11,34,45,16,9,6,20,22,95,-23,1,337,12/3/2017
674,Orlando Magic,36,82,43.9,10,32,31.3,12,14,85.7,5,35,40,24,5,5,20,30,94,-10,0,338,12/4/2017
675,Charlotte Hornets,34,84,40.5,3,17,17.6,33,40,82.5,11,41,52,17,13,5,14,18,104,10,1,338,12/4/2017
676,New York Knicks,40,91,44,6,23,26.1,11,16,68.8,15,28,43,26,4,2,17,15,97,-18,0,339,12/4/2017
677,Indiana Pacers,46,86,53.5,11,26,42.3,12,15,80,7,37,44,28,10,5,16,20,115,18,1,339,12/4/2017
678,Phoenix Suns,44,91,48.4,10,22,45.5,17,22,77.3,15,31,46,25,10,9,11,14,115,14,0,340,12/4/2017
679,Philadelphia 76ers,39,91,42.9,7,30,23.3,16,16,100,13,34,47,23,9,6,14,22,101,-14,1,340,12/4/2017
680,Brooklyn Nets,41,85,48.2,15,36,41.7,13,15,86.7,12,40,52,29,7,6,22,28,110,20,0,341,12/4/2017
681,Atlanta Hawks,30,82,36.6,9,30,30,21,27,77.8,9,29,38,18,9,2,18,19,90,-20,1,341,12/4/2017
682,Milwaukee Bucks,35,78,44.9,9,21,42.9,21,24,87.5,3,25,28,17,6,2,9,17,100,-11,0,342,12/4/2017
683,Boston Celtics,43,78,55.1,10,22,45.5,15,19,78.9,8,37,45,25,5,3,14,20,111,11,1,342,12/4/2017
684,Cleveland Cavaliers,42,81,51.9,13,36,36.1,16,17,94.1,5,41,46,22,6,2,7,13,113,22,0,343,12/4/2017
685,Chicago Bulls,34,82,41.5,9,34,26.5,14,18,77.8,10,33,43,21,4,5,11,16,91,-22,1,343,12/4/2017
686,Minnesota Timberwolves,35,79,44.3,4,17,23.5,18,19,94.7,7,27,34,17,9,2,9,16,92,-3,0,344,12/4/2017
687,Memphis Grizzlies,34,72,47.2,6,21,28.6,21,24,87.5,6,35,41,22,6,8,16,22,95,3,1,344,12/4/2017
688,Golden State Warriors,45,87,51.7,16,33,48.5,19,27,70.4,5,35,40,36,14,5,16,17,125,10,0,345,12/4/2017
689,New Orleans Pelicans,45,91,49.5,16,39,41,9,15,60,11,36,47,33,11,4,21,26,115,-10,1,345,12/4/2017
690,Denver Nuggets,38,91,41.8,14,36,38.9,15,23,65.2,15,34,49,25,5,5,7,19,105,-17,0,346,12/4/2017
691,Dallas Mavericks,49,86,57,12,26,46.2,12,17,70.6,5,37,42,26,4,6,7,18,122,17,1,346,12/4/2017
692,Detroit Pistons,35,85,41.2,8,27,29.6,15,24,62.5,7,35,42,15,8,2,10,22,93,-3,0,347,12/4/2017
693,San Antonio Spurs,35,82,42.7,14,31,45.2,12,12,100,10,41,51,30,2,7,16,20,96,3,1,347,12/4/2017
694,Washington Wizards,23,80,28.7,4,20,20,19,23,82.6,12,19,31,9,8,2,13,21,69,-47,0,348,12/4/2017
695,Utah Jazz,43,76,56.6,16,34,47.1,14,18,77.8,10,42,52,29,9,3,16,20,116,47,1,348,12/4/2017
696,Phoenix Suns,37,75,49.3,9,24,37.5,30,38,78.9,0,35,35,23,7,4,17,24,113,-13,0,349,12/5/2017
697,Toronto Raptors,44,92,47.8,15,36,41.7,23,26,88.5,8,34,42,30,13,4,15,28,126,13,1,349,12/5/2017
698,Utah Jazz,34,79,43,11,33,33.3,15,21,71.4,9,26,35,18,16,5,16,21,94,-6,0,350,12/5/2017
699,Oklahoma City Thunder,39,81,48.1,4,18,22.2,18,26,69.2,12,34,46,18,11,6,18,18,100,6,1,350,12/5/2017
700,Washington Wizards,42,89,47.2,11,25,44,11,14,78.6,11,33,44,20,16,6,9,22,106,14,0,351,12/5/2017
701,Portland Trail Blazers,32,78,41,12,27,44.4,16,21,76.2,7,34,41,18,2,5,18,20,92,-14,1,351,12/5/2017
702,Sacramento Kings,39,86,45.3,10,32,31.3,7,13,53.8,9,36,45,25,15,5,12,20,95,-6,0,352,12/6/2017
703,Cleveland Cavaliers,37,78,47.4,14,39,35.9,13,21,61.9,7,36,43,28,5,3,15,10,101,6,1,352,12/6/2017
704,Chicago Bulls,39,83,47,10,26,38.5,8,16,50,11,35,46,18,3,5,16,15,96,-2,0,353,12/6/2017
705,Indiana Pacers,39,87,44.8,12,34,35.3,8,10,80,7,32,39,21,7,5,13,14,98,2,1,353,12/6/2017
706,Atlanta Hawks,40,93,43,11,27,40.7,15,20,75,11,38,49,25,7,3,17,16,106,-4,0,354,12/6/2017
707,Orlando Magic,46,98,46.9,6,28,21.4,12,18,66.7,13,39,52,17,9,7,16,23,110,4,1,354,12/6/2017
708,Dallas Mavericks,34,86,39.5,9,28,32.1,13,17,76.5,6,39,45,19,7,5,9,12,90,-7,0,355,12/6/2017
709,Boston Celtics,36,87,41.4,12,34,35.3,13,17,76.5,9,44,53,25,8,8,11,15,97,7,1,355,12/6/2017
710,Memphis Grizzlies,29,70,41.4,12,28,42.9,18,22,81.8,4,23,27,14,8,5,15,24,88,-11,0,356,12/6/2017
711,New York Knicks,35,67,52.2,9,14,64.3,20,27,74.1,10,32,42,22,8,3,17,21,99,11,1,356,12/6/2017
712,Golden State Warriors,40,84,47.6,11,30,36.7,10,13,76.9,8,39,47,26,8,12,15,20,101,14,0,357,12/6/2017
713,Charlotte Hornets,34,97,35.1,6,19,31.6,13,17,76.5,14,35,49,17,5,3,12,13,87,-14,1,357,12/6/2017
714,Detroit Pistons,36,87,41.4,10,30,33.3,18,27,66.7,17,29,46,20,5,0,11,20,100,-4,0,358,12/6/2017
715,Milwaukee Bucks,39,79,49.4,8,22,36.4,18,26,69.2,13,28,41,22,7,5,12,21,104,4,1,358,12/6/2017
716,Denver Nuggets,41,94,43.6,16,35,45.7,16,22,72.7,10,30,40,22,7,4,9,21,114,-9,0,359,12/6/2017
717,New Orleans Pelicans,46,86,53.5,12,31,38.7,19,29,65.5,11,38,49,28,4,5,11,19,123,9,1,359,12/6/2017
718,Miami Heat,39,72,54.2,18,34,52.9,9,12,75,6,23,29,28,7,4,18,16,105,-12,0,360,12/6/2017
719,San Antonio Spurs,46,87,52.9,13,25,52,12,14,85.7,10,24,34,30,6,7,11,13,117,12,1,360,12/6/2017
720,Minnesota Timberwolves,45,82,54.9,7,19,36.8,16,21,76.2,8,38,46,29,4,7,15,17,113,6,0,361,12/6/2017
721,LA Clippers,44,99,44.4,10,32,31.3,9,15,60,17,26,43,23,6,3,9,17,107,-6,1,361,12/6/2017
722,Los Angeles Lakers,42,96,43.8,11,28,39.3,12,24,50,15,29,44,22,13,7,11,23,107,3,0,362,12/7/2017
723,Philadelphia 76ers,39,81,48.1,10,26,38.5,16,21,76.2,7,37,44,29,3,13,18,26,104,-3,1,362,12/7/2017
724,Washington Wizards,41,81,50.6,8,21,38.1,19,25,76,8,30,38,25,6,4,10,23,109,10,0,363,12/7/2017
725,Phoenix Suns,36,78,46.2,7,23,30.4,20,28,71.4,10,32,42,22,5,5,13,21,99,-10,1,363,12/7/2017
726,Oklahoma City Thunder,38,98,38.8,7,24,29.2,12,23,52.2,17,37,54,18,6,3,12,25,95,-5,0,364,12/7/2017
727,Brooklyn Nets,35,80,43.8,11,37,29.7,19,30,63.3,7,42,49,24,3,7,13,21,100,5,1,364,12/7/2017
728,Houston Rockets,38,81,46.9,18,42,42.9,18,24,75,8,38,46,22,10,5,17,25,112,11,0,365,12/7/2017
729,Utah Jazz,34,77,44.2,11,30,36.7,22,27,81.5,4,28,32,17,10,5,13,21,101,-11,1,365,12/7/2017
730,Chicago Bulls,48,99,48.5,6,18,33.3,17,22,77.3,6,50,56,23,5,7,14,28,119,8,0,366,12/8/2017
731,Charlotte Hornets,40,100,40,10,29,34.5,21,29,72.4,9,41,50,22,7,11,11,20,111,-8,1,366,12/8/2017
732,Golden State Warriors,39,81,48.1,7,26,26.9,17,22,77.3,5,40,45,29,5,15,14,19,102,4,0,367,12/8/2017
733,Detroit Pistons,38,92,41.3,12,27,44.4,10,19,52.6,15,34,49,20,8,2,11,17,98,-4,1,367,12/8/2017
734,Cleveland Cavaliers,37,85,43.5,11,36,30.6,17,22,77.3,9,35,44,23,4,4,11,23,102,-4,0,368,12/8/2017
735,Indiana Pacers,38,86,44.2,15,39,38.5,15,24,62.5,12,37,49,21,7,3,8,19,106,4,1,368,12/8/2017
736,Denver Nuggets,42,85,49.4,6,21,28.6,13,16,81.3,6,38,44,21,7,7,12,20,103,14,0,369,12/8/2017
737,Orlando Magic,33,83,39.8,5,21,23.8,18,23,78.3,11,31,42,18,5,7,14,17,89,-14,1,369,12/8/2017
738,Toronto Raptors,37,78,47.4,13,31,41.9,29,33,87.9,10,26,36,21,8,3,11,23,116,9,0,370,12/8/2017
739,Memphis Grizzlies,41,82,50,9,27,33.3,16,22,72.7,11,24,35,24,8,3,16,25,107,-9,1,370,12/8/2017
740,Dallas Mavericks,35,75,46.7,10,24,41.7,22,26,84.6,4,32,36,18,6,2,11,22,102,-7,0,371,12/8/2017
741,Milwaukee Bucks,36,79,45.6,8,24,33.3,29,34,85.3,7,33,40,20,10,6,10,24,109,7,1,371,12/8/2017
742,Sacramento Kings,47,97,48.5,13,30,43.3,9,14,64.3,11,35,46,21,12,4,17,21,116,7,0,372,12/8/2017
743,New Orleans Pelicans,41,89,46.1,10,28,35.7,17,19,89.5,7,28,35,19,7,3,17,14,109,-7,1,372,12/8/2017
744,Boston Celtics,38,83,45.8,11,38,28.9,15,17,88.2,11,28,39,14,10,0,14,22,102,-3,0,373,12/8/2017
745,San Antonio Spurs,38,81,46.9,8,27,29.6,21,24,87.5,14,32,46,16,6,3,13,14,105,3,1,373,12/8/2017
746,Washington Wizards,42,82,51.2,13,32,40.6,15,23,65.2,9,35,44,33,5,2,13,18,112,-1,0,374,12/9/2017
747,LA Clippers,39,80,48.7,14,32,43.8,21,24,87.5,4,29,33,22,8,4,10,19,113,1,1,374,12/9/2017
748,Miami Heat,42,90,46.7,8,27,29.6,9,14,64.3,8,36,44,15,6,8,5,17,101,12,0,375,12/9/2017
749,Brooklyn Nets,33,81,40.7,7,27,25.9,16,19,84.2,8,35,43,16,3,3,12,17,89,-12,1,375,12/9/2017
750,Los Angeles Lakers,43,85,50.6,9,27,33.3,15,21,71.4,6,40,46,24,7,5,14,21,110,11,0,376,12/9/2017
751,Charlotte Hornets,41,93,44.1,8,25,32,9,14,64.3,9,34,43,21,7,3,11,21,99,-11,1,376,12/9/2017
752,Orlando Magic,45,92,48.9,13,34,38.2,7,8,87.5,10,29,39,39,7,2,12,24,110,-7,0,377,12/9/2017
753,Atlanta Hawks,41,80,51.2,17,33,51.5,18,25,72,9,31,40,33,7,6,12,13,117,7,1,377,12/9/2017
754,Philadelphia 76ers,37,78,47.4,11,33,33.3,13,13,100,7,32,39,31,10,2,19,21,98,-7,0,378,12/9/2017
755,Cleveland Cavaliers,36,75,48,14,29,48.3,19,25,76,6,27,33,26,12,2,17,16,105,7,1,378,12/9/2017
756,New York Knicks,43,91,47.3,7,24,29.2,9,9,100,8,32,40,25,6,3,14,17,102,-2,0,379,12/9/2017
757,Chicago Bulls,42,82,51.2,7,25,28,13,23,56.5,8,32,40,28,10,7,14,19,104,2,1,379,12/9/2017
758,Utah Jazz,33,76,43.4,8,23,34.8,26,37,70.3,9,26,35,20,7,3,16,23,100,-17,0,380,12/9/2017
759,Milwaukee Bucks,44,81,54.3,7,17,41.2,22,26,84.6,8,33,41,22,8,6,11,29,117,17,1,380,12/9/2017
760,Oklahoma City Thunder,36,92,39.1,12,34,35.3,18,31,58.1,17,30,47,18,7,5,10,21,102,1,0,381,12/9/2017
761,Memphis Grizzlies,39,88,44.3,13,33,39.4,10,17,58.8,13,34,47,23,5,5,13,30,101,-1,1,381,12/9/2017
762,San Antonio Spurs,40,87,46,6,19,31.6,18,25,72,18,34,52,18,5,6,15,23,104,3,0,382,12/9/2017
763,Phoenix Suns,35,80,43.8,7,25,28,24,30,80,10,30,40,11,4,1,10,21,101,-3,1,382,12/9/2017
764,Houston Rockets,40,75,53.3,10,25,40,34,42,81,7,28,35,14,13,2,12,17,124,7,0,383,12/9/2017
765,Portland Trail Blazers,45,88,51.1,18,41,43.9,9,12,75,7,26,33,19,4,5,15,28,117,-7,1,383,12/9/2017
766,Toronto Raptors,39,87,44.8,11,37,29.7,13,19,68.4,12,32,44,22,8,2,13,17,102,15,0,384,12/10/2017
767,Sacramento Kings,35,73,47.9,10,23,43.5,7,14,50,7,35,42,15,7,6,21,17,87,-15,1,384,12/10/2017
768,Boston Celtics,33,79,41.8,11,30,36.7,14,18,77.8,9,41,50,16,4,4,13,18,91,10,0,385,12/10/2017
769,Detroit Pistons,28,84,33.3,10,33,30.3,15,19,78.9,11,35,46,14,7,4,9,16,81,-10,1,385,12/10/2017
770,Denver Nuggets,43,95,45.3,17,42,40.5,13,16,81.3,19,28,47,24,7,5,21,20,116,-10,0,386,12/10/2017
771,Indiana Pacers,49,93,52.7,10,25,40,18,22,81.8,11,29,40,24,6,2,11,17,126,10,1,386,12/10/2017
772,Dallas Mavericks,37,81,45.7,11,31,35.5,7,9,77.8,6,27,33,23,6,5,10,22,92,-5,0,387,12/10/2017
773,Minnesota Timberwolves,36,72,50,7,19,36.8,18,23,78.3,9,36,45,19,7,2,18,19,97,5,1,387,12/10/2017
774,Philadelphia 76ers,44,96,45.8,9,29,31,27,30,90,22,25,47,26,5,4,17,29,124,-7,0,388,12/10/2017
775,New Orleans Pelicans,46,80,57.5,15,24,62.5,24,32,75,5,28,33,31,11,9,14,21,131,7,1,388,12/10/2017
776,Atlanta Hawks,37,77,48.1,9,31,29,24,30,80,6,29,35,22,5,4,15,28,107,-4,0,389,12/10/2017
777,New York Knicks,39,80,48.7,5,17,29.4,28,34,82.4,6,27,33,16,9,4,12,30,111,4,1,389,12/10/2017
778,Boston Celtics,33,83,39.8,10,40,25,9,14,64.3,11,35,46,22,2,2,15,19,85,-23,0,390,12/11/2017
779,Chicago Bulls,39,81,48.1,12,29,41.4,18,25,72,10,36,46,23,9,3,8,18,108,23,1,390,12/11/2017
780,New Orleans Pelicans,49,85,57.6,18,33,54.5,7,13,53.8,6,35,41,32,6,2,18,19,123,-7,0,391,12/11/2017
781,Houston Rockets,48,88,54.5,17,45,37.8,17,25,68,4,32,36,30,12,7,9,15,130,7,1,391,12/11/2017
782,Miami Heat,37,66,56.1,14,27,51.9,19,24,79.2,2,33,35,24,8,8,13,22,107,25,0,392,12/11/2017
783,Memphis Grizzlies,28,72,38.9,8,27,29.6,18,27,66.7,6,25,31,17,6,1,14,22,82,-25,1,392,12/11/2017
